Test ID,Item,Correct,Incorrect,TP,Inacc,APT,ITP,TN,FP,FN,Basic Acc,Precision,Recall,F-Score,M Precision,M Recall,M F-Score,FS Precision,FS Recall,FS F-Score,RMSE,NDE,MAPE,Kolter,Est Acc,Estimated,Actual,Diff,Est of Total,Actual of Total
sVa_BigO_L10,*TL,157575,15744,144381,5322.9444,96231,48149,13194,828,14916,0.9092,0.9943,0.9064,0.9483,0.6627,0.6041,0.632,0.9576,0.8729,0.9133,67.2008,0.0418,0.2946,0.894,0.9582,1312825.0,1370096.67,290515.0,1.0,1.0
sVa_BigO_L10,HPE,17188,144,17188,553.0833,14885,2303,0,0,144,0.9917,1.0,0.9917,0.9958,0.866,0.8588,0.8624,0.9678,0.9598,0.9638,10.7736,0.0035,0.1451,0.9746,0.9965,494052.33,492307.0,25048.0,0.3763,0.3593
sVa_BigO_L10,FRE,17173,159,17173,226.9167,16271,902,0,0,159,0.9908,1.0,0.9908,0.9954,0.9475,0.9388,0.9431,0.9868,0.9777,0.9822,2.1238,0.0187,0.065,0.9635,0.9813,229551.33,225340.33,16468.33,0.1749,0.1645
sVa_BigO_L10,CDE,17188,144,17188,17.1667,17120,68,0,0,144,0.9917,1.0,0.9917,0.9958,0.996,0.9878,0.9919,0.999,0.9907,0.9948,32.5673,0.3314,0.0085,0.8303,0.6686,99498.0,148822.0,50512.0,0.0758,0.1086
sVa_BigO_L10,UTE,17188,144,17188,0.0,6263,10925,0,0,144,0.9917,1.0,0.9917,0.9958,0.3644,0.3614,0.3629,1.0,0.9917,0.9958,3.9767,1.1147,3.1515,0.4372,-0.1147,103132.0,48768.33,54892.33,0.0786,0.0356
sVa_BigO_L10,GRE,17188,144,17188,5.1111,17173,15,0,0,144,0.9917,1.0,0.9917,0.9958,0.9991,0.9908,0.9949,0.9997,0.9914,0.9955,0.5021,0.0079,0.001,0.9952,0.9921,86015.67,86700.67,829.67,0.0655,0.0633
sVa_BigO_L10,TVE,17188,144,17188,3870.0,169,17019,0,0,144,0.9917,1.0,0.9917,0.9958,0.0098,0.0098,0.0098,0.7748,0.7684,0.7716,4.9707,0.4962,0.5431,0.7337,0.5038,57885.33,114897.33,61205.33,0.0441,0.0839
sVa_BigO_L10,FGE,14055,3277,4740,48.3333,4482,258,9315,787,2490,0.8109,0.8576,0.6556,0.7431,0.8109,0.6199,0.7027,0.8489,0.6489,0.7355,5.2071,0.1515,0.0917,0.7707,0.8485,56617.67,66724.67,30603.0,0.0431,0.0487
sVa_BigO_L10,EQE,17188,144,17188,0.0,16294,894,0,0,144,0.9917,1.0,0.9917,0.9958,0.948,0.9401,0.944,1.0,0.9917,0.9958,0.4388,0.0023,0.0191,0.9881,0.9977,68754.67,68599.67,1633.67,0.0524,0.0501
sVa_BigO_L10,BME,6031,11300,2152,143.0833,1953,198,3879,41,11259,0.348,0.9813,0.1605,0.2759,0.891,0.1456,0.2503,0.9161,0.1498,0.2575,3.7893,0.1626,0.1906,0.8544,0.8374,61520.0,73469.0,21387.67,0.0469,0.0536
sVa_BigO_L10,OFE,17188,144,17188,459.25,1621,15567,0,0,144,0.9917,1.0,0.9917,0.9958,0.0943,0.0935,0.0939,0.9733,0.9652,0.9692,2.8514,0.2548,0.7551,0.6859,0.7452,55798.0,44467.67,27935.0,0.0425,0.0325
